 
Farinha. láctea. de cereais;414.85;11.88;5.79;77.77
Fécula. de mandioca;330.85;0.52;0.28;81.15
Feijão. broto. cru;38.72;4.17;0.1;7.76
Feijão. carioca. cru;329.03;19.98;1.26;61.22
Feijao. fradinho. cru;339.16;20.21;2.37;61.24
Feijão. jalo. cru;327.91;20.1;0.95;61.48
Feijão. preto. cru;323.57;21.34;1.24;58.75
Feijão. rajado. cru;325.84;17.27;1.17;62.93
Feijão. rosinha. cru;336.96;20.92;1.33;62.22
Feijão. roxo. cru;331.41;22.17;1.24;59.99
Fermento em pó. químico;89.72;0.48;0.07;43.91
Fermento. biológico. levedura. tablete;89.79;16.96;1.52;7.7
Figo. cru;41.45;0.97;0.16;10.25
Figo. enlatado. em calda;184.36;0.56;0.15;50.34
Frango. asa. com pele. crua;213.19;18.1;15.07;0
Frango. coração. cru;221.5;12.58;18.6;0
Frango. coxa. com pele. crua;161.47;17.09;9.81;0
Frango. coxa. sem pele. crua;119.95;17.81;4.86;0.02
Frango. fígado. cru;106.48;17.59;3.49;0.02
Frango. inteiro. com pele. cru;226.32;16.44;17.31;0
Frango. inteiro. sem pele. cru;129.1;20.59;4.57;0
Frango. peito. com pele. cru;149.47;20.78;6.73;0
Frango. peito. sem pele. cru;119.16;21.53;3.02;0
Frango. sobrecoxa. com pele. crua;254.53;15.46;20.9;0
Frango. sobrecoxa. sem pele. crua;161.8;17.57;9.62;0
Fruta-pão. crua;67.05;1.08;0.19;17.17
Gelatina. sabores variados. pó;380.22;8.89;0;89.22
Geleia. mocotó. natural;106.09;2.13;0.07;24.23
Gergelim. semente;583.55;21.16;50.43;21.62
Glicose de milho;292.12;0;0;79.38
Goiaba. branca. com casca. crua;51.74;0.9;0.49;12.4
Goiaba. vermelha. com casca. crua;54.17;1.09;0.44;13.01
Grão-de-bico. cru;354.7;21.23;5.43;57.88
Graviola. crua;61.62;0.85;0.21;15.84
Graviola. polpa. congelada;38.27;0.57;0.14;9.78
Guandu. cru;344.13;18.96;2.13;64
Hambúrguer. bovino. cru;214.84;13.16;16.18;4.15
Inhame. cru;96.7;2.05;0.21;23.23
Iogurte. natural;51.49;4.06;3.04;1.92
Iogurte. natural. desnatado;41.49;3.83;0.32;5.77
Iogurte. sabor morango;69.57;2.71;2.33;9.69
Iogurte. sabor pêssego;67.85;2.53;2.34;9.43
Jabuticaba. crua;58.05;0.61;0.13;15.26
Jaca. crua;87.92;1.4;0.27;22.5
Jambo. cru;26.91;0.89;0.07;6.49
Jamelão. cru;41.01;0.55;0.11;10.63
Jiló. cru;27.37;1.4;0.22;6.19
Jurubeba. crua;125.81;4.41;3.91;23.06
Kiwi. cru;51.14;1.34;0.63;11.5
Lambari. congelado. cru;130.84;16.81;6.55;0
Lambari. fresco. cru;151.6;15.65;9.4;0
Laranja. baía. crua;45.44;0.98;0.1;11.47
Laranja. baía. suco;36.65;0.65;0;8.7
Laranja. da terra. crua;51.47;1.08;0.19;12.86
Laranja. da terra. suco;40.96;0.67;0.14;9.57
Laranja. lima. crua;45.7;1.06;0.08;11.53
Laranja. lima. suco;39.34;0.71;0.12;9.17
Laranja. pêra. crua;36.77;1.04;0.13;8.95
Laranja. pêra. suco;32.71;0.74;0.07;7.55
Laranja. valência. crua;46.11;0.77;0.16;11.72
Laranja. valência. suco;36.2;0.48;0.12;8.55
Lasanha. massa fresca. crua;220.31;7.01;1.34;45.06
Leite. condensado;312.57;7.67;6.74;57
Leite. de cabra;66.42;3.07;3.75;5.25
Leite. de coco;166.16;1.01;18.36;2.19
Leite. de vaca. achocolatado;82.82;2.1;2.17;14.16
Leite. de vaca. desnatado. pó;361.61;34.69;0.93;53.04
Leite. de vaca. integral. pó;496.65;25.42;26.9;39.18
Leite. fermentado;69.62;1.89;0.1;15.67
Lentilha. crua;339.14;23.15;0.77;62
Limão. cravo. suco;14.1;0.33;0;5.25
Limão. galego. suco;22.23;0.57;0.07;7.32
Limão. tahiti. cru;31.82;0.94;0.14;11.08
Lingúiça. frango. crua;218.11;14.24;17.44;0
Lingúiça. porco. crua;227.2;16.06;17.58;0
Linhaça. semente;495.1;14.08;32.25;43.31
Maça. Argentina. com casca. crua;62.53;0.23;0.25;16.59
Maça. Fuji. com casca. crua;55.52;0.29;0;15.15
Macarrão. instantâneo;435.86;8.79;17.24;62.43
Macarrão. trigo. cru;371.12;10;1.3;77.94
Macarrão. trigo. cru. com ovos;370.57;10.32;1.97;76.62
Macaúba. crua;404.28;2.08;40.66;13.95
Maionese. tradicional com ovos;302.15;0.58;30.5;7.9
Mamão. Formosa. cru;45.34;0.82;0.12;11.55
Mamão. Papaia. cru;40.16;0.46;0.12;10.44
Mandioca. crua;151.42;1.13;0.3;36.17
Manga. Haden. crua;63.5;0.41;0.26;16.66
Manga. Palmer. crua;72.49;0.41;0.17;19.35
Manga. polpa. congelada;48.31;0.38;0.23;12.52
Manga. Tommy Atkins. crua;50.69;0.86;0.22;12.77
Manjericão. cru;21.15;1.99;0.39;3.64
Manteiga. com sal;725.97;0.41;82.36;0.06
Manteiga. sem sal;757.54;0.4;86.04;0
Maracujá. cru;68.44;1.99;2.1;12.26
Maracujá. polpa. congelada;38.76;0.81;0.18;9.6
Maracujá. suco concentrado. envasado;41.97;0.77;0.19;9.64
Margarina. com óleo hidrogenado. com sal (65% de lipídeos);596.12;0;67.43;0
Margarina. com óleo hidrogenado. sem sal (80% de lipídeos);722.53;0;81.73;0
Margarina. com óleo interesterificado. com sal (65%de lipídeos);594.45;0;67.25;0
Margarina. com óleo interesterificado. sem sal (65% de lipídeos);593.14;0;67.1;0
Maria mole;301.24;3.81;0.19;73.55
Maria mole. coco queimado;306.63;3.93;0.09;75.06
Marmelada;257.24;0.4;0.14;70.76
Maxixe. cru;13.75;1.39;0.07;2.73
Mel. de abelha;309.24;0;0;84.03
Melado;296.51;0;0;76.62
Melancia. crua;32.61;0.88;0;8.14
Melão. cru;29.37;0.68;0;7.53
Merluza. filé. cru;89.13;16.61;2.02;0
Mexerica. Murcote. crua;57.59;0.88;0.13;14.86
Mexerica. Rio. crua;36.87;0.65;0.13;9.34
Milho. amido. cru;361.37;0.6;0;87.15
Milho. fubá. cru;353.48;7.21;1.9;78.87
Milho. verde. cru;138.17;6.59;0.61;28.56
Milho. verde. enlatado. drenado;97.56;3.23;2.35;17.14
Mingau tradicional. pó;373.42;0.58;0.37;89.34
Morango. cru;30.15;0.89;0.31;6.82
Mortadela;268.82;11.95;21.65;5.82
Mostarda. folha. crua;18.11;2.11;0.17;3.24
Nabo. cru;18.19;1.2;0.05;4.15
Nêspera. crua;42.54;0.31;0;11.53
Noz. crua;620.06;13.97;59.36;18.36
Óleo. de babaçu;884;0;100;0
Óleo. de canola;884;0;100;0
Óleo. de girassol;884;0;100;0
Óleo. de milho;884;0;100;0
Óleo. de pequi;884;0;100;0
Óleo. de soja;884;0;100;0
Ovo. de codorna. inteiro. cru;176.89;13.69;12.68;0.77
Ovo. de galinha. inteiro. cru;143.11;13.03;8.9;1.64
Paçoca. amendoim;486.93;16;26.08;52.38
Palmito. juçara. em conserva;23.2;1.79;0.4;4.33
Palmito. pupunha. em conserva;29.43;2.46;0.45;5.51
Pamonha. barra para cozimento. pré-cozida;171.22;2.55;4.85;30.68
Pão. aveia. forma;343.09;12.35;5.69;59.57
Pão. de queijo. cru;294.54;3.65;13.99;38.51
Pão. de soja;308.73;11.34;3.58;56.51
Pão. glúten. forma;252.99;11.95;2.73;44.12
Pão. milho. forma;292.01;8.3;3.11;56.4
Pão. trigo. forma. integral;253.19;9.43;3.65;49.94
Pão. trigo. francês;299.81;7.95;3.1;58.65
Pão. trigo. sovado;310.96;8.4;2.84;61.45
Pastel. massa. crua;310.2;6.9;5.48;57.38
Pé-de-moleque. amendoim;503.19;13.16;28.05;54.73
Pepino. cru;9.53;0.87;0;2.04
Pequi. cru;204.97;2.34;17.97;12.97
Pêra. Park. crua;60.59;0.24;0.23;16.07
Pêra. Williams. crua;53.31;0.57;0.11;14.02
Peru. congelado. cru;93.72;18.08;1.83;0
Pescada. branca. crua;110.88;16.26;4.59;0
Pescada. filé. cru;107.21;16.65;4;0
Pescadinha. crua;76.41;15.48;1.14;0
Pêssego. Aurora. cru;36.33;0.83;0;9.32
Pêssego. enlatado. em calda;63.14;0.71;0;16.88
Pimentão. amarelo. cru;27.93;1.22;0.44;5.96
Pimentão. verde. cru;21.29;1.05;0.15;4.89
Pimentão. vermelho. cru;23.28;1.04;0.15;5.47
Pinha. crua;88.47;1.49;0.32;22.45
Pintado. cru;91.08;18.56;1.31;0
Pipoca. com óleo de soja. sem sal;448.33;9.93;15.94;70.31
Pitanga. crua;41.42;0.93;0.17;10.24
Pitanga. polpa. congelada;19.11;0.29;0.12;4.76
Polenta. pré-cozida;102.74;2.29;0.3;23.31
Polvilho. doce;351.23;0.43;0;86.77
Porco. bisteca. crua;164.12;21.5;8.02;0
Porco. costela. crua;255.61;18;19.82;0
Porco. lombo. cru;175.63;22.6;8.77;0
Porco. orelha. salgada. crua;258.49;18.52;19.89;0
Porco. pernil. cru;186.06;20.13;11.1;0
Porco. rabo. salgado. cru;377.42;15.58;34.47;0
Porquinho. cru;93.02;20.49;0.61;0
Presunto. com capa de gordura;127.85;14.37;6.77;1.4
Presunto. sem capa de gordura;93.74;14.29;2.71;2.15
Queijo. minas. frescal;264.27;17.41;20.18;3.24
Queijo. minas. meia cura;320.72;21.21;24.61;3.57
Queijo. mozarela;329.87;22.65;25.18;3.05
Queijo. parmesão;452.96;35.55;33.53;1.66
Queijo. pasteurizado;303.08;9.36;27.44;5.68
Queijo. petit suisse. morango;121.11;5.79;2.84;18.46
Queijo. prato;359.88;22.66;29.11;1.88
Queijo. requeijão. cremoso;256.58;9.63;23.44;2.43
Queijo. ricota;139.73;12.6;8.11;3.79
Quiabo. cru;29.94;1.92;0.3;6.37
Quibe. cru;109.49;12.35;1.67;10.77
Rabanete. cru;13.74;1.39;0.07;2.73
Rapadura;351.96;0.99;0.07;90.79
Refrigerante. tipo água tônica;30.78;0;0;7.95
Refrigerante. tipo cola;33.51;0;0;8.66
Refrigerante. tipo guaraná;38.7;0;0;10
Refrigerante. tipo laranja;45.63;0;0;11.79
Refrigerante. tipo limão;39.72;0;0;10.26
Repolho. branco. cru;17.12;0.88;0.14;3.86
Repolho. roxo. cru;30.91;1.91;0.06;7.2
Romã. crua;55.74;0.4;0;15.11
Rúcula. crua;13.13;1.77;0.11;2.22
Salame;397.84;25.81;30.64;2.91
Salmão. sem pele. fresco. cru;169.78;19.25;9.71;0
Salsa. crua;33.42;3.26;0.61;5.71
Sardinha. conserva em óleo;284.98;15.94;24.05;0
Sardinha. inteira. crua;113.9;21.08;2.65;0
Seleta de legumes. enlatada;56.53;3.42;0.35;12.67
Serralha. crua;30.4;2.67;0.74;4.95
Shoyu;60.93;3.31;0.33;11.65
Soja. extrato solúvel. natural. fluido;39.1;2.38;1.61;4.28
Soja. extrato solúvel. pó;458.9;35.69;26.18;28.48
Soja. farinha;403.96;36.03;14.63;38.44
Soja. queijo (tofu);64.49;6.55;3.95;2.13
Taioba. crua;34.21;2.9;0.93;5.43
Tamarindo. cru;275.7;3.21;0.46;72.53
Tangerina. Poncã. crua;37.83;0.85;0.07;9.61
Tangerina. Poncã. suco;36.11;0.52;0;8.8
Tempero a base de sal;21.33;2.67;0.26;2.07
Tomate. com semente. cru;15.34;1.1;0.17;3.14
Tomate. extrato;60.93;2.43;0.19;14.96
Tomate. molho industrializado;38.45;1.38;0.9;7.71
Tomate. salada;20.55;0.81;0;5.12
Torrada. pão francês;377.42;10.52;3.3;74.56
Toucinho. cru;592.53;11.48;60.26;0
Tremoço. cru;381.28;33.58;10.34;43.79
Tremoço. em conserva;120.64;11.11;3.78;12.39
Tucumã. cru;262.02;2.09;19.08;26.47
Tucunaré. filé. congelado. cru;87.69;17.96;1.22;0.05
Umbu. cru;37.02;0.84;0;9.4
Umbu. polpa. congelada;33.94;0.51;0.07;8.79
Uva. Itália. crua;52.87;0.75;0.2;13.57
Uva. Rubi. crua;49.06;0.61;0.16;12.7
Uva. suco concentrado. envasado;57.66;0;0;14.71
Vagem. crua;24.9;1.79;0.17;5.35
Canela. pó;261;3.89;3.19;79.84
